Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/15/2023,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-216.77,ACH_DEBIT, ,,
DEBIT,05/05/2023,"Zelle payment to Tejas 17274506607",-75.00,QUICKPAY_DEBIT, ,,
DEBIT,05/05/2023,"CAPITAL ONE      CRCARDPMT  3RKD2OV9G66T27E WEB ID: 9541719318",-29.47,ACH_DEBIT, ,,
DEBIT,05/02/2023,"HOME DEPOT       AUTO PYMT  721027193310268 WEB ID: CITIAUTFDR",-33.50,ACH_DEBIT, ,,
DEBIT,05/01/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
CHECK,04/28/2023,"CHECK 1020  ",-183.00,CHECK_PAID, ,1020,
DEBIT,04/05/2023,"Online Realtime Transfer to PNC Bank, National Association  2736 transaction#: 17009554287 reference#: 9009554287RX 04/05",-2000.00,ACCT_XFER, ,,
DEBIT,04/03/2023,"HOME DEPOT       AUTO PYMT  721000445340183 WEB ID: CITIAUTFDR",-7.86,ACH_DEBIT, ,,
DEBIT,04/03/2023,"SCOREREWARDS     PAYMENT    524364102765422 WEB ID: 9130142001",-89.12,ACH_DEBIT, ,,
CHECK,03/31/2023,"CHECK 1019  ",-24.00,CHECK_PAID, ,1019,
DEBIT,03/30/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
CHECK,03/29/2023,"CHECK 1018  ",-2.00,CHECK_PAID, ,1018,
DEBIT,03/06/2023,"STATE FARM RO 08 CPC-CLIENT 13 S 1284956913 WEB ID: 9000313004",-131.92,ACH_DEBIT, ,,
DEBIT,03/02/2023,"CAPITAL ONE      CRCARDPMT  3R6URXWVRV3O1UY WEB ID: 9541719318",-25.72,ACH_DEBIT, ,,
DEBIT,03/01/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,02/28/2023,"CAPITAL ONE      ONLINE PMT 3R6G3Q253FIXXM2 WEB ID: 9279744391",-67.69,ACH_DEBIT, ,,
DEBIT,02/23/2023,"VENMO            PAYMENT    1025430161731   WEB ID: 3264681992",-33.00,MISC_DEBIT, ,,
DEBIT,02/21/2023,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-212.25,ACH_DEBIT, ,,
DEBIT,02/21/2023,"VENMO            PAYMENT    1025391484400   WEB ID: 3264681992",-2000.00,MISC_DEBIT, ,,
DEBIT,02/21/2023,"VENMO            PAYMENT    1025388282177   WEB ID: 3264681992",-1.00,MISC_DEBIT, ,,
DEBIT,02/14/2023,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-54.43,ACH_DEBIT, ,,
DEBIT,01/31/2023,"COMN CAP APY F1  AUTO PAY   P23028162575217 WEB ID: 1651180275",-144.55,ACH_DEBIT, ,,
DEBIT,01/30/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,01/24/2023,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2141.52,ACH_DEBIT, ,,
DEBIT,01/17/2023,"Zelle payment to Sanjib JPM999kuu2js",-79.00,CHASE_TO_PARTNERFI, ,,
DEBIT,01/05/2023,"VENMO            PAYMENT    1024506257467   WEB ID: 3264681992",-150.00,MISC_DEBIT, ,,
DEBIT,12/30/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,12/29/2022,"COMN CAP APY F1  AUTO PAY   P22362151747928 WEB ID: 1651180275",-55.00,ACH_DEBIT, ,,
DEBIT,12/27/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1188.00,ACH_DEBIT, ,,
DEBIT,12/19/2022,"VENMO            PAYMENT    1024170605800   WEB ID: 3264681992",-130.00,MISC_DEBIT, ,,
DEBIT,12/14/2022,"Zelle payment to DEY SONAL JPM999jo3qko",-19.00,CHASE_TO_PARTNERFI, ,,
DEBIT,12/12/2022,"TARGET CARD SRVC AUTO PYMT  00070288071     WEB ID: 1411721813",-31.31,ACH_DEBIT, ,,
DEBIT,11/30/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,11/29/2022,"COMN CAP APY F1  AUTO PAY   P22332142178997 WEB ID: 1651180275",-343.78,ACH_DEBIT, ,,
DEBIT,11/25/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-583.19,ACH_DEBIT, ,,
DEBIT,11/21/2022,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-241.25,ACH_DEBIT, ,,
DEBIT,11/14/2022,"Zelle payment to Vedanta Pitt New JPM999ihgxmm",-30.00,CHASE_TO_PARTNERFI, ,,
DEBIT,11/14/2022,"TARGET CARD SRVC AUTO PYMT  00070288071     WEB ID: 1411721813",-13.72,ACH_DEBIT, ,,
DEBIT,11/14/2022,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-38.04,ACH_DEBIT, ,,
DEBIT,11/09/2022,"VENMO            PAYMENT    1023373462857   WEB ID: 3264681992",-130.00,MISC_DEBIT, ,,
DEBIT,11/03/2022,"SCOREREWARDS     PAYMENT    524364102765422 WEB ID: 9130142001",-9.97,ACH_DEBIT, ,,
DEBIT,10/31/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,10/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-357.75,ACH_DEBIT, ,,
DEBIT,10/14/2022,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-24.74,ACH_DEBIT, ,,
DEBIT,10/11/2022,"1ST BANKCARD CTR CR CRD PMT 3D100F565AFD94  WEB ID: 9104000010",-1578.94,ACH_DEBIT, ,,
DEBIT,10/11/2022,"BEST BUY         AUTO PYMT  710872039810817 WEB ID: CITIAUTFDR",-103.70,ACH_DEBIT, ,,
DEBIT,10/03/2022,"VENMO            PAYMENT    1022633306405   WEB ID: 3264681992",-147.00,MISC_DEBIT, ,,
DEBIT,09/30/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,09/26/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-590.63,ACH_DEBIT, ,,
DEBIT,09/21/2022,"Zelle payment to Vedanta Pitt New JPM999gg8183",-20.00,CHASE_TO_PARTNERFI, ,,
DEBIT,09/15/2022,"Dicks Spt Gd MC  DSG EPAY   2192113193      WEB ID: 9069872103",-114.66,ACH_DEBIT, ,,
CHECK,09/13/2022,"CHECK 1070  ",-100.00,CHECK_PAID, ,1070,
DEBIT,09/13/2022,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-7.71,ACH_DEBIT, ,,
DEBIT,09/12/2022,"1ST BANKCARD CTR CR CRD PMT 3D100F565AFD94  WEB ID: 9104000010",-233.78,ACH_DEBIT, ,,
DEBIT,09/12/2022,"VENMO            PAYMENT    1022260372882   WEB ID: 3264681992",-15.00,MISC_DEBIT, ,,
DEBIT,09/12/2022,"Zelle payment to Namrata JPM999g3h1tf",-25.00,CHASE_TO_PARTNERFI, ,,
DEBIT,09/12/2022,"TARGET CARD SRVC AUTO PYMT  00070288071     WEB ID: 1411721813",-3.04,ACH_DEBIT, ,,
DEBIT,09/06/2022,"VENMO            PAYMENT    1022167710654   WEB ID: 3264681992",-161.50,MISC_DEBIT, ,,
DEBIT,09/06/2022,"SCOREREWARDS     PAYMENT    524364102765422 WEB ID: 9130142001",-96.73,ACH_DEBIT, ,,
